Date;Open;High;Low;Close
2025.04.17 01:15;4820.64100;4820.64100;4820.51700;4820.51700
2025.04.17 01:14;4821.20400;4821.20400;4820.64500;4820.64500
2025.04.17 01:13;4821.80900;4821.80900;4821.21500;4821.21500
2025.04.17 01:12;4822.35600;4822.35600;4821.81900;4821.81900
2025.04.17 01:11;4813.14900;4822.47300;4813.11800;4822.36100
2025.04.17 01:10;4813.69900;4813.69900;4813.15900;4813.15900
2025.04.17 01:09;4814.37500;4814.37500;4813.71000;4813.71000
2025.04.17 01:08;4814.91200;4814.91200;4814.37500;4814.37500
2025.04.17 01:07;4815.55300;4815.55300;4814.91300;4814.91300
2025.04.17 01:06;4816.16400;4816.16400;4815.57500;4815.57500
2025.04.17 01:05;4816.73800;4816.73800;4816.16700;4816.16700
2025.04.17 01:04;4817.33800;4817.33800;4816.74500;4816.74500
2025.04.17 01:03;4817.92900;4817.92900;4817.34200;4817.34200
2025.04.17 01:02;4818.42500;4818.42500;4817.95000;4817.95000
2025.04.17 01:01;4818.99900;4818.99900;4818.44000;4818.44000
2025.04.17 01:00;4819.50300;4819.50300;4819.00500;4819.00500
2025.04.17 00:59;4820.04600;4820.04600;4819.51000;4819.51000
2025.04.17 00:58;4820.57700;4820.57700;4820.04900;4820.04900
2025.04.17 00:57;4821.20100;4821.20100;4820.59400;4820.59400
2025.04.17 00:56;4821.76200;4821.76200;4821.22100;4821.22100
2025.04.17 00:55;4819.93900;4821.91800;4819.57100;4821.77700
2025.04.17 00:54;4818.22800;4820.08800;4817.84100;4819.94900
2025.04.17 00:53;4818.79200;4818.79200;4818.25300;4818.25300
2025.04.17 00:52;4819.44000;4819.44000;4818.80800;4818.80800
2025.04.17 00:51;4820.05300;4820.05300;4819.45800;4819.45800
2025.04.17 00:50;4820.62600;4820.62600;4820.05400;4820.05400
2025.04.17 00:49;4821.24200;4821.24200;4820.63400;4820.63400
2025.04.17 00:48;4821.89000;4821.89000;4821.24500;4821.24500
2025.04.17 00:47;4822.40300;4822.40300;4821.89400;4821.89400
2025.04.17 00:46;4823.04300;4823.04300;4822.40400;4822.40400
2025.04.17 00:45;4823.65400;4823.65400;4823.05100;4823.05100
2025.04.17 00:44;4824.23300;4824.23300;4823.66900;4823.66900
2025.04.17 00:43;4824.81700;4824.81700;4824.23600;4824.23600
2025.04.17 00:42;4825.37100;4825.37100;4824.82100;4824.82100
2025.04.17 00:41;4825.98500;4825.98500;4825.37200;4825.37200
2025.04.17 00:40;4826.61200;4826.61200;4825.98900;4825.98900
2025.04.17 00:39;4827.25000;4827.25000;4826.63500;4826.63500
2025.04.17 00:38;4821.27700;4827.45900;4820.88400;4827.25000
2025.04.17 00:37;4821.88200;4821.88200;4821.29600;4821.29600
2025.04.17 00:36;4822.31800;4822.34600;4821.88700;4821.88700
2025.04.17 00:35;4822.93000;4822.93000;4822.32700;4822.32700
2025.04.17 00:34;4823.57700;4823.57700;4822.94000;4822.94000
2025.04.17 00:33;4824.23600;4824.23600;4823.57800;4823.57800
2025.04.17 00:32;4824.88700;4824.88700;4824.24000;4824.24000
2025.04.17 00:31;4825.54900;4825.54900;4824.89000;4824.89000
2025.04.17 00:30;4812.69100;4826.06200;4812.55700;4825.55900
2025.04.17 00:29;4813.28400;4813.28400;4812.71000;4812.71000
