Date;Open;High;Low;Close
2025.04.17 01:15;3131.15800;3131.25100;3131.15800;3131.25100
2025.04.17 01:14;3130.77400;3131.15300;3130.77400;3131.15300
2025.04.17 01:13;3130.38500;3130.75700;3130.38500;3130.75700
2025.04.17 01:12;3133.03200;3133.31000;3130.29400;3130.37500
2025.04.17 01:11;3132.64800;3133.03100;3132.64800;3133.03100
2025.04.17 01:10;3132.31900;3132.64300;3132.31900;3132.64300
2025.04.17 01:09;3132.01100;3132.31500;3132.01100;3132.31500
2025.04.17 01:08;3131.63600;3132.01000;3131.63600;3132.01000
2025.04.17 01:07;3131.23000;3131.63000;3131.23000;3131.63000
2025.04.17 01:06;3130.82400;3131.22600;3130.82400;3131.22600
2025.04.17 01:05;3130.45000;3130.81500;3130.45000;3130.81500
2025.04.17 01:04;3130.04100;3130.43800;3130.04100;3130.43800
2025.04.17 01:03;3129.64300;3130.03300;3129.64300;3130.03300
2025.04.17 01:02;3129.28200;3129.64000;3129.28200;3129.64000
2025.04.17 01:01;3128.96300;3129.27900;3128.96300;3129.27900
2025.04.17 01:00;3128.58100;3128.95200;3128.58100;3128.95200
2025.04.17 00:59;3128.26200;3128.57400;3128.26200;3128.57400
2025.04.17 00:58;3127.98000;3128.25400;3127.90300;3128.25400
2025.04.17 00:57;3127.63900;3127.97500;3127.63900;3127.97500
2025.04.17 00:56;3127.24700;3127.63700;3127.24700;3127.63700
2025.04.17 00:55;3126.88000;3127.24500;3126.88000;3127.24500
2025.04.17 00:54;3126.47100;3126.87200;3126.47100;3126.87200
2025.04.17 00:53;3126.08000;3126.47000;3126.08000;3126.47000
2025.04.17 00:52;3125.72300;3126.08000;3125.72300;3126.08000
2025.04.17 00:51;3125.34000;3125.71300;3125.34000;3125.71300
2025.04.17 00:50;3125.01100;3125.33000;3125.01100;3125.33000
2025.04.17 00:49;3124.65800;3125.00900;3124.65800;3125.00900
2025.04.17 00:48;3124.27400;3124.65700;3124.27400;3124.65700
2025.04.17 00:47;3123.90300;3124.26800;3123.90300;3124.26800
2025.04.17 00:46;3123.50400;3123.89500;3123.50400;3123.89500
2025.04.17 00:45;3123.08100;3123.49700;3123.08100;3123.49700
2025.04.17 00:44;3122.71300;3123.08000;3122.71300;3123.08000
2025.04.17 00:43;3122.29300;3122.70500;3122.29300;3122.70500
2025.04.17 00:42;3121.91700;3122.28000;3121.91700;3122.28000
2025.04.17 00:41;3121.51600;3121.90800;3121.51600;3121.90800
2025.04.17 00:40;3121.13800;3121.50700;3121.13800;3121.50700
2025.04.17 00:39;3120.68700;3121.12900;3120.68700;3121.12900
2025.04.17 00:38;3125.21000;3125.26700;3120.37700;3120.68400
2025.04.17 00:37;3124.87600;3125.19600;3124.87600;3125.19600
2025.04.17 00:36;3124.48200;3124.87200;3124.48200;3124.87200
2025.04.17 00:35;3124.07800;3124.47700;3124.07800;3124.47700
2025.04.17 00:34;3123.75200;3124.07000;3123.75200;3124.07000
2025.04.17 00:33;3127.40900;3127.46700;3123.42300;3123.75000
2025.04.17 00:32;3127.01300;3127.40300;3127.01300;3127.40300
2025.04.17 00:31;3126.75800;3127.00400;3126.75800;3127.00400
2025.04.17 00:30;3126.38100;3126.75800;3126.38100;3126.75800
2025.04.17 00:29;3125.98600;3126.37800;3125.98600;3126.37800
2025.04.17 00:28;3125.64200;3125.98500;3125.64200;3125.98500
2025.04.17 00:27;3125.26500;3125.63200;3125.26500;3125.63200
2025.04.17 00:26;3124.90500;3125.26400;3124.90500;3125.26400
2025.04.17 00:25;3124.53500;3124.90100;3124.53500;3124.90100
2025.04.17 00:24;3129.90400;3130.00300;3124.27400;3124.52800
2025.04.17 00:23;3129.51600;3129.89800;3129.51600;3129.89800
2025.04.17 00:22;3132.23300;3132.58600;3129.49300;3129.50600
2025.04.17 00:21;3136.35300;3136.35900;3131.86100;3132.23300
2025.04.17 00:20;3135.93700;3136.35300;3135.93700;3136.35300
2025.04.17 00:19;3135.60400;3135.93000;3135.60400;3135.93000
2025.04.17 00:18;3135.20300;3135.59400;3135.20300;3135.59400
2025.04.17 00:17;3134.83000;3135.19600;3134.83000;3135.19600
2025.04.17 00:16;3134.43000;3134.82200;3134.43000;3134.82200
2025.04.17 00:15;3141.15800;3141.28800;3134.14900;3134.42200
2025.04.17 00:14;3140.76400;3141.15400;3140.76400;3141.15400
2025.04.17 00:13;3140.43900;3140.76300;3140.43900;3140.76300
2025.04.17 00:12;3140.04300;3140.43400;3140.04300;3140.43400
2025.04.17 00:11;3139.68700;3140.04000;3139.68700;3140.04000
2025.04.17 00:10;3139.35000;3139.68400;3139.35000;3139.68400
2025.04.17 00:09;3138.92900;3139.34900;3138.92900;3139.34900
2025.04.17 00:08;3141.80000;3141.93300;3138.69300;3138.92700
2025.04.17 00:07;3141.44100;3141.79500;3141.44100;3141.79500
2025.04.17 00:06;3141.04700;3141.44000;3141.04700;3141.44000
2025.04.17 00:05;3140.59500;3141.03700;3140.59500;3141.03700
2025.04.17 00:04;3140.23500;3140.59100;3140.23500;3140.59100
2025.04.17 00:03;3139.88100;3140.22900;3139.88100;3140.22900
2025.04.17 00:02;3139.49200;3139.88000;3139.49200;3139.88000
2025.04.17 00:01;3142.91300;3143.26600;3139.47100;3139.48100
2025.04.17 00:00;3142.50800;3142.91000;3142.50800;3142.91000
2025.04.16 23:59;3142.05300;3142.50500;3142.05300;3142.50500
2025.04.16 23:58;3142.62800;3142.67600;3141.74700;3142.05100
2025.04.16 23:57;3149.18000;3149.22200;3142.27400;3142.62700
