Date;Open;High;Low;Close
2025.04.17 01:15;1.14921;1.14928;1.14920;1.14922
2025.04.17 01:14;1.14931;1.14936;1.14920;1.14921
2025.04.17 01:13;1.14929;1.14938;1.14904;1.14931
2025.04.17 01:12;1.14932;1.14944;1.14926;1.14929
2025.04.17 01:11;1.14917;1.14933;1.14910;1.14931
2025.04.17 01:10;1.14934;1.14936;1.14911;1.14917
2025.04.17 01:09;1.14975;1.14975;1.14922;1.14934
2025.04.17 01:08;1.14977;1.14982;1.14970;1.14976
2025.04.17 01:07;1.14969;1.14978;1.14963;1.14978
2025.04.17 01:06;1.14941;1.14969;1.14932;1.14969
2025.04.17 01:05;1.14963;1.14963;1.14939;1.14942
2025.04.17 01:04;1.14943;1.14975;1.14934;1.14964
2025.04.17 01:03;1.14951;1.14958;1.14943;1.14943
2025.04.17 01:02;1.14936;1.14964;1.14928;1.14951
2025.04.17 01:01;1.14913;1.14943;1.14906;1.14935
2025.04.17 01:00;1.14905;1.14918;1.14903;1.14913
2025.04.17 00:59;1.14887;1.14907;1.14880;1.14905
2025.04.17 00:58;1.14875;1.14894;1.14874;1.14886
2025.04.17 00:57;1.14858;1.14876;1.14857;1.14875
2025.04.17 00:56;1.14862;1.14879;1.14851;1.14858
2025.04.17 00:55;1.14834;1.14897;1.14834;1.14862
2025.04.17 00:54;1.14833;1.14850;1.14823;1.14832
2025.04.17 00:53;1.14824;1.14837;1.14823;1.14833
2025.04.17 00:52;1.14827;1.14834;1.14820;1.14825
2025.04.17 00:51;1.14844;1.14845;1.14824;1.14826
2025.04.17 00:50;1.14870;1.14872;1.14838;1.14844
2025.04.17 00:49;1.14876;1.14881;1.14864;1.14870
2025.04.17 00:48;1.14874;1.14883;1.14868;1.14876
2025.04.17 00:47;1.14879;1.14882;1.14862;1.14875
2025.04.17 00:46;1.14873;1.14880;1.14862;1.14879
2025.04.17 00:45;1.14881;1.14889;1.14872;1.14873
2025.04.17 00:44;1.14855;1.14882;1.14849;1.14881
2025.04.17 00:43;1.14866;1.14871;1.14854;1.14855
2025.04.17 00:42;1.14872;1.14899;1.14865;1.14866
2025.04.17 00:41;1.14856;1.14872;1.14825;1.14872
2025.04.17 00:40;1.14858;1.14864;1.14837;1.14856
2025.04.17 00:39;1.14873;1.14887;1.14852;1.14858
2025.04.17 00:38;1.14845;1.14887;1.14844;1.14873
2025.04.17 00:37;1.14857;1.14874;1.14836;1.14845
2025.04.17 00:36;1.14856;1.14875;1.14852;1.14858
2025.04.17 00:35;1.14882;1.14882;1.14852;1.14857
2025.04.17 00:34;1.14900;1.14912;1.14881;1.14881
2025.04.17 00:33;1.14912;1.14917;1.14897;1.14900
2025.04.17 00:32;1.14925;1.14928;1.14905;1.14909
2025.04.17 00:31;1.14949;1.14954;1.14919;1.14925
2025.04.17 00:30;1.14963;1.14966;1.14936;1.14949
2025.04.17 00:29;1.14977;1.14980;1.14955;1.14963
2025.04.17 00:28;1.14986;1.14987;1.14974;1.14977
2025.04.17 00:27;1.14954;1.14988;1.14954;1.14985
2025.04.17 00:26;1.14967;1.14970;1.14945;1.14954
2025.04.17 00:25;1.14979;1.14982;1.14967;1.14968
2025.04.17 00:24;1.14999;1.14999;1.14973;1.14980
2025.04.17 00:23;1.15014;1.15014;1.14999;1.14999
2025.04.17 00:22;1.15012;1.15014;1.15002;1.15013
2025.04.17 00:21;1.15011;1.15027;1.15001;1.15012
2025.04.17 00:20;1.15007;1.15017;1.14984;1.15012
2025.04.17 00:19;1.15007;1.15012;1.14988;1.15006
2025.04.17 00:18;1.14971;1.15008;1.14971;1.15007
2025.04.17 00:17;1.14988;1.14989;1.14971;1.14971
2025.04.17 00:16;1.14987;1.14998;1.14980;1.14988
2025.04.17 00:15;1.14991;1.15005;1.14986;1.14994
2025.04.17 00:14;1.14991;1.14999;1.14974;1.14991
2025.04.17 00:13;1.15023;1.15026;1.14982;1.14991
2025.04.17 00:12;1.15032;1.15033;1.15015;1.15023
2025.04.17 00:11;1.15033;1.15038;1.15021;1.15032
2025.04.17 00:10;1.15027;1.15058;1.15019;1.15032
2025.04.17 00:09;1.15018;1.15034;1.15017;1.15027
2025.04.17 00:08;1.15029;1.15033;1.15018;1.15018
2025.04.17 00:07;1.15036;1.15041;1.15012;1.15028
2025.04.17 00:06;1.15061;1.15066;1.15035;1.15036
2025.04.17 00:05;1.15046;1.15067;1.15041;1.15062
2025.04.17 00:04;1.15048;1.15057;1.15034;1.15046
2025.04.17 00:03;1.15067;1.15074;1.15047;1.15049
2025.04.17 00:02;1.15017;1.15076;1.15017;1.15067
2025.04.17 00:01;1.15105;1.15106;1.15008;1.15018
2025.04.17 00:00;1.15139;1.15141;1.15068;1.15105
2025.04.16 23:59;1.15115;1.15141;1.15115;1.15139
2025.04.16 23:58;1.15112;1.15124;1.15069;1.15123
2025.04.16 23:57;1.15122;1.15138;1.15105;1.15112
2025.04.16 23:56;1.15124;1.15135;1.15115;1.15122
2025.04.16 23:55;1.15115;1.15130;1.15111;1.15125
2025.04.16 23:54;1.15108;1.15122;1.15098;1.15115
2025.04.16 23:53;1.15124;1.15124;1.15108;1.15108
2025.04.16 23:52;1.15121;1.15126;1.15108;1.15124
2025.04.16 23:51;1.15140;1.15147;1.15116;1.15120
2025.04.16 23:50;1.15116;1.15149;1.15116;1.15141
2025.04.16 23:49;1.15086;1.15119;1.15086;1.15116
2025.04.16 23:48;1.15095;1.15096;1.15082;1.15086
2025.04.16 23:47;1.15107;1.15107;1.15080;1.15095
2025.04.16 23:46;1.15128;1.15128;1.15099;1.15107
2025.04.16 23:45;1.15157;1.15157;1.15120;1.15128
2025.04.16 23:44;1.15163;1.15166;1.15155;1.15157
2025.04.16 23:43;1.15157;1.15164;1.15157;1.15163
2025.04.16 23:42;1.15152;1.15159;1.15151;1.15157
2025.04.16 23:41;1.15164;1.15164;1.15152;1.15153
2025.04.16 23:40;1.15169;1.15171;1.15155;1.15164
2025.04.16 23:39;1.15186;1.15186;1.15170;1.15170
2025.04.16 23:38;1.15196;1.15196;1.15172;1.15185
2025.04.16 23:37;1.15215;1.15215;1.15196;1.15196
2025.04.16 23:36;1.15216;1.15223;1.15212;1.15216
2025.04.16 23:35;1.15218;1.15227;1.15215;1.15216
2025.04.16 23:34;1.15211;1.15226;1.15211;1.15218
2025.04.16 23:33;1.15209;1.15219;1.15197;1.15211
2025.04.16 23:32;1.15190;1.15221;1.15190;1.15209
2025.04.16 23:31;1.15212;1.15213;1.15184;1.15191
2025.04.16 23:30;1.15208;1.15216;1.15206;1.15212
2025.04.16 23:29;1.15198;1.15214;1.15198;1.15208
2025.04.16 23:28;1.15196;1.15203;1.15195;1.15198
2025.04.16 23:27;1.15194;1.15200;1.15188;1.15196
2025.04.16 23:26;1.15182;1.15201;1.15181;1.15194
2025.04.16 23:25;1.15171;1.15184;1.15169;1.15182
2025.04.16 23:24;1.15183;1.15183;1.15166;1.15172
2025.04.16 23:23;1.15173;1.15195;1.15173;1.15183
2025.04.16 23:22;1.15183;1.15184;1.15172;1.15173
2025.04.16 23:21;1.15194;1.15195;1.15181;1.15183
2025.04.16 23:20;1.15185;1.15195;1.15185;1.15194
2025.04.16 23:19;1.15182;1.15186;1.15176;1.15185
2025.04.16 23:18;1.15198;1.15199;1.15177;1.15182
2025.04.16 23:17;1.15193;1.15207;1.15193;1.15198
2025.04.16 23:16;1.15211;1.15212;1.15185;1.15194
2025.04.16 23:15;1.15212;1.15215;1.15202;1.15208
2025.04.16 23:14;1.15208;1.15215;1.15202;1.15211
2025.04.16 23:13;1.15215;1.15215;1.15208;1.15208
2025.04.16 23:12;1.15218;1.15223;1.15207;1.15220
2025.04.16 23:11;1.15199;1.15225;1.15199;1.15218
2025.04.16 23:10;1.15206;1.15206;1.15183;1.15199
2025.04.16 23:09;1.15218;1.15219;1.15206;1.15206
2025.04.16 23:08;1.15223;1.15226;1.15210;1.15219
2025.04.16 23:07;1.15203;1.15226;1.15203;1.15223
2025.04.16 23:06;1.15226;1.15226;1.15202;1.15203
2025.04.16 23:05;1.15224;1.15229;1.15223;1.15226
2025.04.16 23:04;1.15206;1.15225;1.15205;1.15224
2025.04.16 23:03;1.15210;1.15210;1.15190;1.15209
2025.04.16 23:02;1.15215;1.15219;1.15210;1.15210
2025.04.16 23:01;1.15237;1.15238;1.15210;1.15215
2025.04.16 23:00;1.15230;1.15240;1.15226;1.15237
2025.04.16 22:59;1.15230;1.15231;1.15227;1.15231
2025.04.16 22:58;1.15233;1.15236;1.15223;1.15232
