Date;Open;High;Low;Close
2025.04.17 01:15;1.33773;1.33776;1.33761;1.33762
2025.04.17 01:14;1.33778;1.33786;1.33771;1.33772
2025.04.17 01:13;1.33778;1.33781;1.33757;1.33777
2025.04.17 01:12;1.33774;1.33789;1.33772;1.33778
2025.04.17 01:11;1.33753;1.33775;1.33751;1.33775
2025.04.17 01:10;1.33762;1.33763;1.33738;1.33752
2025.04.17 01:09;1.33795;1.33799;1.33749;1.33761
2025.04.17 01:08;1.33798;1.33802;1.33789;1.33797
2025.04.17 01:07;1.33780;1.33799;1.33774;1.33799
2025.04.17 01:06;1.33762;1.33781;1.33753;1.33780
2025.04.17 01:05;1.33766;1.33770;1.33763;1.33763
2025.04.17 01:04;1.33762;1.33776;1.33753;1.33769
2025.04.17 01:03;1.33767;1.33768;1.33759;1.33763
2025.04.17 01:02;1.33740;1.33773;1.33737;1.33767
2025.04.17 01:01;1.33718;1.33745;1.33717;1.33741
2025.04.17 01:00;1.33707;1.33721;1.33707;1.33718
2025.04.17 00:59;1.33691;1.33707;1.33687;1.33707
2025.04.17 00:58;1.33682;1.33697;1.33682;1.33692
2025.04.17 00:57;1.33659;1.33683;1.33656;1.33683
2025.04.17 00:56;1.33653;1.33664;1.33648;1.33660
2025.04.17 00:55;1.33629;1.33669;1.33629;1.33652
2025.04.17 00:54;1.33635;1.33641;1.33617;1.33627
2025.04.17 00:53;1.33644;1.33645;1.33633;1.33636
2025.04.17 00:52;1.33648;1.33651;1.33637;1.33644
2025.04.17 00:51;1.33652;1.33652;1.33641;1.33648
2025.04.17 00:50;1.33668;1.33670;1.33645;1.33652
2025.04.17 00:49;1.33673;1.33681;1.33664;1.33668
2025.04.17 00:48;1.33682;1.33684;1.33671;1.33673
2025.04.17 00:47;1.33680;1.33683;1.33671;1.33681
2025.04.17 00:46;1.33675;1.33679;1.33674;1.33678
2025.04.17 00:45;1.33673;1.33680;1.33669;1.33674
2025.04.17 00:44;1.33661;1.33674;1.33652;1.33673
2025.04.17 00:43;1.33662;1.33664;1.33656;1.33659
2025.04.17 00:42;1.33663;1.33683;1.33661;1.33662
2025.04.17 00:41;1.33651;1.33663;1.33638;1.33662
2025.04.17 00:40;1.33643;1.33652;1.33636;1.33650
2025.04.17 00:39;1.33650;1.33661;1.33634;1.33643
2025.04.17 00:38;1.33624;1.33654;1.33622;1.33650
2025.04.17 00:37;1.33642;1.33653;1.33620;1.33622
2025.04.17 00:36;1.33644;1.33656;1.33640;1.33642
2025.04.17 00:35;1.33662;1.33663;1.33640;1.33646
2025.04.17 00:34;1.33682;1.33688;1.33657;1.33662
2025.04.17 00:33;1.33690;1.33693;1.33679;1.33682
