Date,Open,High,Low,Close
2025.04.21 23:13,2376.63300,2376.89700,2375.99600,2376.20400
2025.04.21 23:14,2376.28100,2377.32700,2376.15800,2377.32700
2025.04.21 23:15,2377.12900,2378.44800,2377.12900,2378.17100
2025.04.21 23:16,2378.06800,2378.06800,2376.97600,2377.19800
2025.04.21 23:17,2377.04600,2377.55800,2376.42800,2376.69800
2025.04.21 23:18,2376.80100,2376.80100,2375.60700,2376.73000
2025.04.21 23:19,2376.70900,2376.85300,2375.82400,2376.07800
2025.04.21 23:20,2376.14400,2376.77200,2375.60000,2375.64800
2025.04.21 23:21,2375.62300,2375.81200,2374.89300,2374.97700
2025.04.21 23:22,2375.03400,2376.39500,2374.98400,2376.32600
2025.04.21 23:23,2376.39700,2376.52200,2375.90200,2376.29200
2025.04.21 23:24,2376.48500,2376.82600,2375.95100,2376.16700
2025.04.21 23:25,2376.27900,2376.56100,2375.80000,2376.47800
2025.04.21 23:26,2376.75700,2377.43100,2376.59900,2376.99200
2025.04.21 23:27,2376.92900,2377.41700,2376.36200,2376.66500
2025.04.21 23:28,2376.77700,2376.90900,2376.01800,2376.47900
2025.04.21 23:29,2376.47900,2376.86800,2375.95600,2376.24600
2025.04.21 23:30,2376.32000,2377.62500,2376.02900,2377.21000
2025.04.21 23:31,2376.91900,2377.44300,2376.18300,2376.56500
2025.04.21 23:32,2376.44900,2377.61400,2376.44900,2377.08700
2025.04.21 23:33,2377.07900,2377.33200,2375.68300,2376.44700
2025.04.21 23:34,2376.60300,2377.26800,2376.09800,2376.54100
2025.04.21 23:35,2376.25200,2376.47300,2375.59500,2376.34400
2025.04.21 23:36,2376.10100,2376.15400,2374.96300,2375.09400
2025.04.21 23:37,2375.17300,2376.98700,2374.70900,2376.88900
2025.04.21 23:38,2376.71700,2377.00100,2376.33000,2377.00100
2025.04.21 23:39,2377.02400,2377.19700,2375.52200,2375.87900
2025.04.21 23:40,2375.78800,2376.63600,2375.12100,2375.26500
2025.04.21 23:41,2375.31800,2376.51400,2375.26200,2376.34300
2025.04.21 23:42,2376.36500,2376.48800,2375.54100,2375.72300
2025.04.21 23:43,2375.75800,2375.75800,2374.43500,2374.75700
2025.04.21 23:44,2374.68000,2375.05100,2374.19000,2374.35800
2025.04.21 23:45,2374.32100,2374.41100,2372.49100,2372.98600
2025.04.21 23:46,2373.03300,2373.21700,2372.07000,2372.07000
2025.04.21 23:47,2371.87000,2371.87000,2370.51700,2370.61500
2025.04.21 23:48,2370.60000,2370.60000,2368.87300,2369.85100
2025.04.21 23:49,2369.67500,2370.53800,2369.67500,2369.99800
2025.04.21 23:50,2369.80700,2370.64600,2369.59700,2369.91000
2025.04.21 23:51,2369.73700,2370.78300,2369.16900,2370.78300
2025.04.21 23:52,2370.63600,2372.60100,2370.63600,2372.09300
2025.04.21 23:53,2371.75000,2372.47700,2371.67000,2372.30600
2025.04.21 23:54,2372.15100,2373.03500,2371.81100,2372.97700
2025.04.21 23:55,2373.26300,2374.07000,2373.23100,2373.67700
2025.04.21 23:56,2373.66800,2374.07500,2372.21400,2372.38300
2025.04.21 23:57,2372.46500,2373.54700,2372.46500,2373.54700
2025.04.21 23:58,2373.60700,2373.60700,2372.71400,2373.40900
2025.04.21 23:59,2373.58000,2373.90400,2372.83800,2372.83800
2025.04.22 00:00,2372.84900,2373.17900,2371.93300,2373.17900
2025.04.22 00:01,2373.35400,2374.28100,2373.30500,2373.99500
2025.04.22 00:02,2373.69900,2373.73600,2372.77400,2373.63900
2025.04.22 00:03,2373.29100,2373.65100,2372.69600,2373.48900
2025.04.22 00:04,2373.42600,2373.87000,2373.12300,2373.27400
2025.04.22 00:05,2373.30800,2373.95600,2372.70000,2373.95600
2025.04.22 00:06,2373.94200,2375.84400,2373.94200,2375.04500
2025.04.22 00:07,2375.03500,2375.35500,2374.55300,2374.79300
2025.04.22 00:08,2374.95600,2375.45900,2374.77100,2375.23200
2025.04.22 00:09,2375.32000,2375.71000,2374.85800,2374.92600
2025.04.22 00:10,2374.80100,2375.00800,2374.00900,2374.11500
2025.04.22 00:11,2374.16400,2375.32400,2373.96000,2375.32400
2025.04.22 00:12,2375.37900,2375.79800,2375.22700,2375.63400
2025.04.22 00:13,2375.60700,2375.60700,2375.60700,2375.60700
